State,Year,Month,Value
DC,1979,Jan,7.6
DC,1979,Feb,7.6
DC,1979,Mar,7.4
DC,1979,Apr,7.2
DC,1979,May,7
DC,1979,Jun,6.8
DC,1979,Jul,6.6
DC,1979,Aug,6.5
DC,1979,Sep,6.4
DC,1979,Oct,6.4
DC,1979,Nov,6.3
DC,1979,Dec,6.3
DC,1980,Jan,6.4
DC,1980,Feb,6.5
DC,1980,Mar,6.7
DC,1980,Apr,7
DC,1980,May,7.2
DC,1980,Jun,7.5
DC,1980,Jul,7.7
DC,1980,Aug,7.8
DC,1980,Sep,8
DC,1980,Oct,8.1
DC,1980,Nov,8.1
DC,1980,Dec,8.2
DC,1981,Jan,8.2
DC,1981,Feb,8.2
DC,1981,Mar,8.3
DC,1981,Apr,8.4
DC,1981,May,8.5
DC,1981,Jun,8.6
DC,1981,Jul,8.7
DC,1981,Aug,8.8
DC,1981,Sep,8.9
DC,1981,Oct,9
DC,1981,Nov,9.2
DC,1981,Dec,9.4
DC,1982,Jan,9.6
DC,1982,Feb,9.8
DC,1982,Mar,9.9
DC,1982,Apr,10.1
DC,1982,May,10.2
DC,1982,Jun,10.2
DC,1982,Jul,10.3
DC,1982,Aug,10.4
DC,1982,Sep,10.6
DC,1982,Oct,10.8
DC,1982,Nov,11
DC,1982,Dec,11.2
DC,1983,Jan,11.3
DC,1983,Feb,11.3
DC,1983,Mar,11.3
DC,1983,Apr,11.2
DC,1983,May,11.1
DC,1983,Jun,11.1
DC,1983,Jul,11
DC,1983,Aug,10.9
DC,1983,Sep,10.7
DC,1983,Oct,10.5
DC,1983,Nov,10.3
DC,1983,Dec,10.1
DC,1984,Jan,9.9
DC,1984,Feb,9.6
DC,1984,Mar,9.3
DC,1984,Apr,9.1
DC,1984,May,8.9
DC,1984,Jun,8.8
DC,1984,Jul,8.7
DC,1984,Aug,8.6
DC,1984,Sep,8.5
DC,1984,Oct,8.5
DC,1984,Nov,8.4
DC,1984,Dec,8.3
DC,1985,Jan,8.3
DC,1985,Feb,8.3
DC,1985,Mar,8.3
DC,1985,Apr,8.3
DC,1985,May,8.3
DC,1985,Jun,8.2
DC,1985,Jul,8.1
DC,1985,Aug,7.9
DC,1985,Sep,7.7
DC,1985,Oct,7.5
DC,1985,Nov,7.4
DC,1985,Dec,7.3
DC,1986,Jan,7.2
DC,1986,Feb,7.2
DC,1986,Mar,7.3
DC,1986,Apr,7.4
DC,1986,May,7.5
DC,1986,Jun,7.5
DC,1986,Jul,7.4
DC,1986,Aug,7.4
DC,1986,Sep,7.4
DC,1986,Oct,7.4
DC,1986,Nov,7.4
DC,1986,Dec,7.3
DC,1987,Jan,7.2
DC,1987,Feb,7
DC,1987,Mar,6.8
DC,1987,Apr,6.5
DC,1987,May,6.4
DC,1987,Jun,6.2
DC,1987,Jul,6.1
DC,1987,Aug,6
DC,1987,Sep,5.9
DC,1987,Oct,5.8
DC,1987,Nov,5.7
DC,1987,Dec,5.6
DC,1988,Jan,5.5
DC,1988,Feb,5.4
DC,1988,Mar,5.3
DC,1988,Apr,5.2
DC,1988,May,5.1
DC,1988,Jun,5
DC,1988,Jul,4.9
DC,1988,Aug,4.8
DC,1988,Sep,4.8
DC,1988,Oct,4.8
DC,1988,Nov,4.8
DC,1988,Dec,4.7
DC,1989,Jan,4.7
DC,1989,Feb,4.7
DC,1989,Mar,4.7
DC,1989,Apr,4.7
DC,1989,May,4.7
DC,1989,Jun,4.7
DC,1989,Jul,4.8
DC,1989,Aug,4.8
DC,1989,Sep,4.8
DC,1989,Oct,4.9
DC,1989,Nov,5
DC,1989,Dec,5.2
DC,1990,Jan,5.1
DC,1990,Feb,5.2
DC,1990,Mar,5.3
DC,1990,Apr,5.4
DC,1990,May,5.6
DC,1990,Jun,5.7
DC,1990,Jul,5.9
DC,1990,Aug,6.1
DC,1990,Sep,6.4
DC,1990,Oct,6.5
DC,1990,Nov,6.7
DC,1990,Dec,6.8
DC,1991,Jan,7
DC,1991,Feb,7.1
DC,1991,Mar,7.3
DC,1991,Apr,7.4
DC,1991,May,7.6
DC,1991,Jun,7.7
DC,1991,Jul,7.8
DC,1991,Aug,7.9
DC,1991,Sep,8
DC,1991,Oct,8.1
DC,1991,Nov,8.2
DC,1991,Dec,8.3
DC,1992,Jan,8.4
DC,1992,Feb,8.4
DC,1992,Mar,8.5
DC,1992,Apr,8.5
DC,1992,May,8.5
DC,1992,Jun,8.6
DC,1992,Jul,8.6
DC,1992,Aug,8.7
DC,1992,Sep,8.7
DC,1992,Oct,8.7
DC,1992,Nov,8.7
DC,1992,Dec,8.7
DC,1993,Jan,8.6
DC,1993,Feb,8.5
DC,1993,Mar,8.4
DC,1993,Apr,8.4
DC,1993,May,8.4
DC,1993,Jun,8.4
DC,1993,Jul,8.4
DC,1993,Aug,8.4
DC,1993,Sep,8.4
DC,1993,Oct,8.3
DC,1993,Nov,8.3
DC,1993,Dec,8.3
DC,1994,Jan,8.3
DC,1994,Feb,8.3
DC,1994,Mar,8.2
DC,1994,Apr,8.1
DC,1994,May,8
DC,1994,Jun,7.9
DC,1994,Jul,7.8
DC,1994,Aug,7.7
DC,1994,Sep,7.7
DC,1994,Oct,7.7
DC,1994,Nov,7.7
DC,1994,Dec,7.8
DC,1995,Jan,7.9
DC,1995,Feb,8.1
DC,1995,Mar,8.3
DC,1995,Apr,8.5
DC,1995,May,8.7
DC,1995,Jun,8.8
DC,1995,Jul,8.9
DC,1995,Aug,8.9
DC,1995,Sep,8.9
DC,1995,Oct,8.8
DC,1995,Nov,8.8
DC,1995,Dec,8.7
DC,1996,Jan,8.7
DC,1996,Feb,8.6
DC,1996,Mar,8.6
DC,1996,Apr,8.6
DC,1996,May,8.6
DC,1996,Jun,8.6
DC,1996,Jul,8.5
DC,1996,Aug,8.3
DC,1996,Sep,8.2
DC,1996,Oct,8.2
DC,1996,Nov,8.1
DC,1996,Dec,8.1
DC,1997,Jan,8
DC,1997,Feb,7.9
DC,1997,Mar,7.9
DC,1997,Apr,7.9
DC,1997,May,7.9
DC,1997,Jun,8
DC,1997,Jul,8.1
DC,1997,Aug,8.2
DC,1997,Sep,8.3
DC,1997,Oct,8.4
DC,1997,Nov,8.5
DC,1997,Dec,8.6
DC,1998,Jan,8.7
DC,1998,Feb,8.7
DC,1998,Mar,8.7
DC,1998,Apr,8.6
DC,1998,May,8.5
DC,1998,Jun,8.4
DC,1998,Jul,8.3
DC,1998,Aug,8.3
DC,1998,Sep,8.2
DC,1998,Oct,8
DC,1998,Nov,7.8
DC,1998,Dec,7.6
DC,1999,Jan,7.4
DC,1999,Feb,7.2
DC,1999,Mar,7
DC,1999,Apr,6.9
DC,1999,May,6.8
DC,1999,Jun,6.7
DC,1999,Jul,6.5
DC,1999,Aug,6.4
DC,1999,Sep,6.2
DC,1999,Oct,6.1
DC,1999,Nov,5.9
DC,1999,Dec,5.8
DC,2000,Jan,5.7
DC,2000,Feb,5.7
DC,2000,Mar,5.7
DC,2000,Apr,5.6
DC,2000,May,5.6
DC,2000,Jun,5.6
DC,2000,Jul,5.6
DC,2000,Aug,5.7
