State,Year,Month,Value
FL,1979,Jan,6.5
FL,1979,Feb,6.4
FL,1979,Mar,6.3
FL,1979,Apr,6.2
FL,1979,May,6
FL,1979,Jun,6
FL,1979,Jul,5.9
FL,1979,Aug,5.8
FL,1979,Sep,5.8
FL,1979,Oct,5.7
FL,1979,Nov,5.7
FL,1979,Dec,5.6
FL,1980,Jan,5.6
FL,1980,Feb,5.6
FL,1980,Mar,5.7
FL,1980,Apr,5.9
FL,1980,May,6
FL,1980,Jun,6.1
FL,1980,Jul,6.1
FL,1980,Aug,6.2
FL,1980,Sep,6.1
FL,1980,Oct,6.1
FL,1980,Nov,6.2
FL,1980,Dec,6.2
FL,1981,Jan,6.3
FL,1981,Feb,6.4
FL,1981,Mar,6.4
FL,1981,Apr,6.5
FL,1981,May,6.6
FL,1981,Jun,6.6
FL,1981,Jul,6.7
FL,1981,Aug,6.9
FL,1981,Sep,7
FL,1981,Oct,7.2
FL,1981,Nov,7.4
FL,1981,Dec,7.6
FL,1982,Jan,7.7
FL,1982,Feb,7.9
FL,1982,Mar,8
FL,1982,Apr,8.1
FL,1982,May,8.3
FL,1982,Jun,8.4
FL,1982,Jul,8.5
FL,1982,Aug,8.6
FL,1982,Sep,8.8
FL,1982,Oct,9
FL,1982,Nov,9.2
FL,1982,Dec,9.3
FL,1983,Jan,9.4
FL,1983,Feb,9.4
FL,1983,Mar,9.3
FL,1983,Apr,9.2
FL,1983,May,9
FL,1983,Jun,8.9
FL,1983,Jul,8.7
FL,1983,Aug,8.5
FL,1983,Sep,8.2
FL,1983,Oct,8
FL,1983,Nov,7.7
FL,1983,Dec,7.4
FL,1984,Jan,7.2
FL,1984,Feb,7
FL,1984,Mar,6.8
FL,1984,Apr,6.7
FL,1984,May,6.6
FL,1984,Jun,6.5
FL,1984,Jul,6.5
FL,1984,Aug,6.4
FL,1984,Sep,6.4
FL,1984,Oct,6.4
FL,1984,Nov,6.3
FL,1984,Dec,6.3
FL,1985,Jan,6.3
FL,1985,Feb,6.3
FL,1985,Mar,6.2
FL,1985,Apr,6.2
FL,1985,May,6.2
FL,1985,Jun,6.2
FL,1985,Jul,6.1
FL,1985,Aug,6
FL,1985,Sep,5.9
FL,1985,Oct,5.9
FL,1985,Nov,5.8
FL,1985,Dec,5.8
FL,1986,Jan,5.8
FL,1986,Feb,5.8
FL,1986,Mar,5.9
FL,1986,Apr,5.9
FL,1986,May,5.9
FL,1986,Jun,5.9
FL,1986,Jul,5.9
FL,1986,Aug,5.9
FL,1986,Sep,5.8
FL,1986,Oct,5.8
FL,1986,Nov,5.8
FL,1986,Dec,5.7
