State,Year,Month,Value
SD,1979,Jan,3.4
SD,1979,Feb,3.4
SD,1979,Mar,3.4
SD,1979,Apr,3.4
SD,1979,May,3.3
SD,1979,Jun,3.3
SD,1979,Jul,3.2
SD,1979,Aug,3.3
SD,1979,Sep,3.3
SD,1979,Oct,3.4
SD,1979,Nov,3.4
SD,1979,Dec,3.5
SD,1980,Jan,3.7
SD,1980,Feb,3.9
SD,1980,Mar,4.1
SD,1980,Apr,4.5
SD,1980,May,4.7
SD,1980,Jun,5
SD,1980,Jul,5.1
SD,1980,Aug,5.1
SD,1980,Sep,5.1
SD,1980,Oct,5.1
SD,1980,Nov,5.1
SD,1980,Dec,5.2
SD,1981,Jan,5.1
SD,1981,Feb,5.1
SD,1981,Mar,5
SD,1981,Apr,4.8
SD,1981,May,4.7
SD,1981,Jun,4.6
SD,1981,Jul,4.6
SD,1981,Aug,4.7
SD,1981,Sep,4.7
SD,1981,Oct,4.8
SD,1981,Nov,4.8
SD,1981,Dec,4.8
SD,1982,Jan,4.9
SD,1982,Feb,4.9
SD,1982,Mar,5
SD,1982,Apr,5.1
SD,1982,May,5.2
SD,1982,Jun,5.4
SD,1982,Jul,5.5
SD,1982,Aug,5.6
SD,1982,Sep,5.7
SD,1982,Oct,5.9
SD,1982,Nov,5.9
SD,1982,Dec,6
SD,1983,Jan,6
SD,1983,Feb,5.9
SD,1983,Mar,5.8
SD,1983,Apr,5.6
SD,1983,May,5.5
SD,1983,Jun,5.3
SD,1983,Jul,5.1
SD,1983,Aug,4.9
SD,1983,Sep,4.8
SD,1983,Oct,4.7
SD,1983,Nov,4.5
SD,1983,Dec,4.4
SD,1984,Jan,4.3
SD,1984,Feb,4.3
SD,1984,Mar,4.2
SD,1984,Apr,4.2
SD,1984,May,4.3
SD,1984,Jun,4.3
SD,1984,Jul,4.4
SD,1984,Aug,4.4
SD,1984,Sep,4.5
SD,1984,Oct,4.5
SD,1984,Nov,4.5
SD,1984,Dec,4.5
SD,1985,Jan,4.6
SD,1985,Feb,4.7
SD,1985,Mar,4.8
SD,1985,Apr,4.8
SD,1985,May,4.9
SD,1985,Jun,4.9
SD,1985,Jul,4.9
SD,1985,Aug,4.9
SD,1985,Sep,4.9
SD,1985,Oct,4.9
SD,1985,Nov,4.8
SD,1985,Dec,4.8
SD,1986,Jan,4.8
SD,1986,Feb,4.8
SD,1986,Mar,4.8
SD,1986,Apr,4.8
SD,1986,May,4.7
SD,1986,Jun,4.7
SD,1986,Jul,4.6
SD,1986,Aug,4.6
SD,1986,Sep,4.5
SD,1986,Oct,4.5
SD,1986,Nov,4.4
SD,1986,Dec,4.4
SD,1987,Jan,4.4
SD,1987,Feb,4.4
SD,1987,Mar,4.4
SD,1987,Apr,4.3
SD,1987,May,4.3
SD,1987,Jun,4.3
SD,1987,Jul,4.3
SD,1987,Aug,4.2
SD,1987,Sep,4.2
SD,1987,Oct,4.2
SD,1987,Nov,4.3
SD,1987,Dec,4.3
SD,1988,Jan,4.3
SD,1988,Feb,4.3
SD,1988,Mar,4.3
SD,1988,Apr,4.2
SD,1988,May,4.1
SD,1988,Jun,4
SD,1988,Jul,4
SD,1988,Aug,4
SD,1988,Sep,4
SD,1988,Oct,4
SD,1988,Nov,4
SD,1988,Dec,3.9
SD,1989,Jan,3.9
SD,1989,Feb,3.8
SD,1989,Mar,3.8
SD,1989,Apr,3.8
SD,1989,May,3.9
SD,1989,Jun,3.9
SD,1989,Jul,3.9
SD,1989,Aug,3.9
SD,1989,Sep,3.9
SD,1989,Oct,3.9
SD,1989,Nov,3.8
SD,1989,Dec,3.7
SD,1990,Jan,3.7
SD,1990,Feb,3.7
SD,1990,Mar,3.7
SD,1990,Apr,3.6
SD,1990,May,3.6
SD,1990,Jun,3.6
SD,1990,Jul,3.6
SD,1990,Aug,3.6
SD,1990,Sep,3.6
SD,1990,Oct,3.6
SD,1990,Nov,3.6
SD,1990,Dec,3.6
SD,1991,Jan,3.6
SD,1991,Feb,3.6
SD,1991,Mar,3.6
SD,1991,Apr,3.6
SD,1991,May,3.6
SD,1991,Jun,3.6
SD,1991,Jul,3.5
SD,1991,Aug,3.5
SD,1991,Sep,3.5
SD,1991,Oct,3.4
SD,1991,Nov,3.4
SD,1991,Dec,3.4
SD,1992,Jan,3.4
SD,1992,Feb,3.4
SD,1992,Mar,3.4
SD,1992,Apr,3.4
SD,1992,May,3.5
SD,1992,Jun,3.5
SD,1992,Jul,3.5
SD,1992,Aug,3.5
SD,1992,Sep,3.5
SD,1992,Oct,3.5
SD,1992,Nov,3.5
SD,1992,Dec,3.6
SD,1993,Jan,3.6
SD,1993,Feb,3.6
SD,1993,Mar,3.6
SD,1993,Apr,3.6
SD,1993,May,3.5
SD,1993,Jun,3.5
SD,1993,Jul,3.4
SD,1993,Aug,3.4
SD,1993,Sep,3.4
SD,1993,Oct,3.3
SD,1993,Nov,3.3
SD,1993,Dec,3.3
SD,1994,Jan,3.4
SD,1994,Feb,3.3
SD,1994,Mar,3.3
SD,1994,Apr,3.3
SD,1994,May,3.3
SD,1994,Jun,3.3
SD,1994,Jul,3.3
SD,1994,Aug,3.3
SD,1994,Sep,3.3
SD,1994,Oct,3.3
SD,1994,Nov,3.2
SD,1994,Dec,3.1
