State,Year,Month,Value
USA,1979,Jan,5.9
USA,1979,Feb,5.9
USA,1979,Mar,5.8
USA,1979,Apr,5.8
USA,1979,May,5.6
USA,1979,Jun,5.7
USA,1979,Jul,5.7
USA,1979,Aug,6
USA,1979,Sep,5.9
USA,1979,Oct,6
USA,1979,Nov,5.9
USA,1979,Dec,6
USA,1980,Jan,6.3
USA,1980,Feb,6.3
USA,1980,Mar,6.3
USA,1980,Apr,6.9
USA,1980,May,7.5
USA,1980,Jun,7.6
USA,1980,Jul,7.8
USA,1980,Aug,7.7
USA,1980,Sep,7.5
USA,1980,Oct,7.5
USA,1980,Nov,7.5
USA,1980,Dec,7.2
USA,1981,Jan,7.5
USA,1981,Feb,7.4
USA,1981,Mar,7.4
USA,1981,Apr,7.2
USA,1981,May,7.5
USA,1981,Jun,7.5
USA,1981,Jul,7.2
USA,1981,Aug,7.4
USA,1981,Sep,7.6
USA,1981,Oct,7.9
USA,1981,Nov,8.3
USA,1981,Dec,8.5
USA,1982,Jan,8.6
USA,1982,Feb,8.9
USA,1982,Mar,9
USA,1982,Apr,9.3
USA,1982,May,9.4
USA,1982,Jun,9.6
USA,1982,Jul,9.8
USA,1982,Aug,9.8
USA,1982,Sep,10.1
USA,1982,Oct,10.4
USA,1982,Nov,10.8
USA,1982,Dec,10.8
USA,1983,Jan,10.4
USA,1983,Feb,10.4
USA,1983,Mar,10.3
USA,1983,Apr,10.2
USA,1983,May,10.1
USA,1983,Jun,10.1
USA,1983,Jul,9.4
USA,1983,Aug,9.5
USA,1983,Sep,9.2
USA,1983,Oct,8.8
USA,1983,Nov,8.5
USA,1983,Dec,8.3
USA,1984,Jan,8
USA,1984,Feb,7.8
USA,1984,Mar,7.8
USA,1984,Apr,7.7
USA,1984,May,7.4
USA,1984,Jun,7.2
USA,1984,Jul,7.5
USA,1984,Aug,7.5
USA,1984,Sep,7.3
USA,1984,Oct,7.4
USA,1984,Nov,7.2
USA,1984,Dec,7.3
USA,1985,Jan,7.3
USA,1985,Feb,7.2
USA,1985,Mar,7.2
USA,1985,Apr,7.3
USA,1985,May,7.2
USA,1985,Jun,7.4
USA,1985,Jul,7.4
USA,1985,Aug,7.1
USA,1985,Sep,7.1
USA,1985,Oct,7.1
