State,Year,Month,Value
WV,1979,Jan,6.6
WV,1979,Feb,6.7
WV,1979,Mar,6.8
WV,1979,Apr,7
WV,1979,May,7.1
WV,1979,Jun,7.3
WV,1979,Jul,7.4
WV,1979,Aug,7.6
WV,1979,Sep,7.7
WV,1979,Oct,7.8
WV,1979,Nov,7.9
WV,1979,Dec,8
WV,1980,Jan,8.2
WV,1980,Feb,8.6
WV,1980,Mar,9
WV,1980,Apr,9.5
WV,1980,May,10
WV,1980,Jun,10.5
WV,1980,Jul,10.8
WV,1980,Aug,11
WV,1980,Sep,11
WV,1980,Oct,11
WV,1980,Nov,11
WV,1980,Dec,11
WV,1981,Jan,11.1
WV,1981,Feb,11.2
WV,1981,Mar,11.2
WV,1981,Apr,11.1
WV,1981,May,10.9
WV,1981,Jun,10.6
WV,1981,Jul,10.2
WV,1981,Aug,10
WV,1981,Sep,9.9
WV,1981,Oct,10
WV,1981,Nov,10.3
WV,1981,Dec,10.6
WV,1982,Jan,10.9
WV,1982,Feb,11.3
WV,1982,Mar,11.7
WV,1982,Apr,12.3
WV,1982,May,12.8
WV,1982,Jun,13.4
WV,1982,Jul,14.1
WV,1982,Aug,14.7
WV,1982,Sep,15.4
WV,1982,Oct,16.6
WV,1982,Nov,17.4
WV,1982,Dec,17.9
WV,1983,Jan,18.3
WV,1983,Feb,18.4
WV,1983,Mar,18.4
WV,1983,Apr,18.2
WV,1983,May,18
WV,1983,Jun,17.8
WV,1983,Jul,17.4
WV,1983,Aug,17
WV,1983,Sep,16.6
WV,1983,Oct,16.1
WV,1983,Nov,15.5
WV,1983,Dec,15.1
WV,1984,Jan,14.6
WV,1984,Feb,14.3
WV,1984,Mar,14.1
WV,1984,Apr,13.9
WV,1984,May,13.8
WV,1984,Jun,13.8
WV,1984,Jul,13.8
WV,1984,Aug,13.9
WV,1984,Sep,14.1
WV,1984,Oct,14.2
WV,1984,Nov,14.3
WV,1984,Dec,14.3
WV,1985,Jan,14.2
WV,1985,Feb,14
WV,1985,Mar,13.8
WV,1985,Apr,13.6
WV,1985,May,13.5
WV,1985,Jun,13.3
WV,1985,Jul,13.1
WV,1985,Aug,12.9
WV,1985,Sep,12.7
WV,1985,Oct,12.4
WV,1985,Nov,12.2
WV,1985,Dec,12.1
WV,1986,Jan,12.1
WV,1986,Feb,12.2
WV,1986,Mar,12.2
WV,1986,Apr,12.3
WV,1986,May,12.3
WV,1986,Jun,12.3
WV,1986,Jul,12.2
WV,1986,Aug,12.1
WV,1986,Sep,11.9
WV,1986,Oct,11.8
WV,1986,Nov,11.7
WV,1986,Dec,11.6
WV,1987,Jan,11.5
WV,1987,Feb,11.4
WV,1987,Mar,11.3
WV,1987,Apr,11.2
WV,1987,May,11.1
WV,1987,Jun,11
WV,1987,Jul,10.9
WV,1987,Aug,10.8
WV,1987,Sep,10.7
WV,1987,Oct,10.7
WV,1987,Nov,10.6
WV,1987,Dec,10.5
WV,1988,Jan,10.4
WV,1988,Feb,10.4
WV,1988,Mar,10.3
WV,1988,Apr,10.2
WV,1988,May,10.1
WV,1988,Jun,10
WV,1988,Jul,9.9
WV,1988,Aug,9.8
WV,1988,Sep,9.7
WV,1988,Oct,9.6
WV,1988,Nov,9.5
WV,1988,Dec,9.4
WV,1989,Jan,9.2
WV,1989,Feb,9.1
WV,1989,Mar,9
WV,1989,Apr,9
WV,1989,May,8.9
WV,1989,Jun,8.8
WV,1989,Jul,8.8
WV,1989,Aug,8.6
WV,1989,Sep,8.5
WV,1989,Oct,8.4
WV,1989,Nov,8.3
WV,1989,Dec,8.2
WV,1990,Jan,8.1
WV,1990,Feb,8
WV,1990,Mar,8
WV,1990,Apr,8
WV,1990,May,8.1
WV,1990,Jun,8.2
WV,1990,Jul,8.5
WV,1990,Aug,8.8
WV,1990,Sep,9.1
WV,1990,Oct,9.3
WV,1990,Nov,9.6
WV,1990,Dec,9.8
WV,1991,Jan,10
WV,1991,Feb,10.1
WV,1991,Mar,10.3
WV,1991,Apr,10.4
WV,1991,May,10.5
WV,1991,Jun,10.6
WV,1991,Jul,10.7
WV,1991,Aug,10.8
WV,1991,Sep,10.9
WV,1991,Oct,11
WV,1991,Nov,11.2
WV,1991,Dec,11.3
WV,1992,Jan,11.4
WV,1992,Feb,11.4
WV,1992,Mar,11.4
WV,1992,Apr,11.4
WV,1992,May,11.3
WV,1992,Jun,11.3
WV,1992,Jul,11.3
WV,1992,Aug,11.3
WV,1992,Sep,11.2
WV,1992,Oct,11.1
WV,1992,Nov,10.9
WV,1992,Dec,10.8
WV,1993,Jan,10.7
WV,1993,Feb,10.7
WV,1993,Mar,10.6
WV,1993,Apr,10.6
WV,1993,May,10.5
WV,1993,Jun,10.5
WV,1993,Jul,10.3
WV,1993,Aug,10.2
WV,1993,Sep,10
WV,1993,Oct,9.9
WV,1993,Nov,9.9
WV,1993,Dec,9.8
WV,1994,Jan,9.8
WV,1994,Feb,9.7
WV,1994,Mar,9.5
WV,1994,Apr,9.3
WV,1994,May,9.1
WV,1994,Jun,8.9
WV,1994,Jul,8.7
WV,1994,Aug,8.5
WV,1994,Sep,8.3
WV,1994,Oct,8.2
WV,1994,Nov,8
WV,1994,Dec,7.8
WV,1995,Jan,7.7
WV,1995,Feb,7.7
WV,1995,Mar,7.7
WV,1995,Apr,7.8
WV,1995,May,8
WV,1995,Jun,8.1
WV,1995,Jul,8.1
WV,1995,Aug,8.1
WV,1995,Sep,8.1
WV,1995,Oct,8.1
WV,1995,Nov,8.1
WV,1995,Dec,8.1
WV,1996,Jan,8.1
WV,1996,Feb,8.1
WV,1996,Mar,8
WV,1996,Apr,7.8
WV,1996,May,7.7
WV,1996,Jun,7.5
WV,1996,Jul,7.4
WV,1996,Aug,7.4
WV,1996,Sep,7.4
WV,1996,Oct,7.4
WV,1996,Nov,7.5
WV,1996,Dec,7.5
WV,1997,Jan,7.4
WV,1997,Feb,7.3
WV,1997,Mar,7.2
WV,1997,Apr,7.1
WV,1997,May,7
WV,1997,Jun,6.9
WV,1997,Jul,6.9
WV,1997,Aug,6.8
WV,1997,Sep,6.8
WV,1997,Oct,6.8
WV,1997,Nov,6.8
WV,1997,Dec,6.8
WV,1998,Jan,6.8
WV,1998,Feb,6.8
WV,1998,Mar,6.8
WV,1998,Apr,6.8
WV,1998,May,6.7
WV,1998,Jun,6.7
WV,1998,Jul,6.7
WV,1998,Aug,6.7
WV,1998,Sep,6.6
WV,1998,Oct,6.6
WV,1998,Nov,6.5
WV,1998,Dec,6.5
WV,1999,Jan,6.5
WV,1999,Feb,6.6
WV,1999,Mar,6.6
WV,1999,Apr,6.6
WV,1999,May,6.6
WV,1999,Jun,6.6
WV,1999,Jul,6.5
WV,1999,Aug,6.5
WV,1999,Sep,6.4
WV,1999,Oct,6.3
WV,1999,Nov,6.2
WV,1999,Dec,6
WV,2000,Jan,5.8
WV,2000,Feb,5.7
WV,2000,Mar,5.6
WV,2000,Apr,5.6
WV,2000,May,5.6
WV,2000,Jun,5.6
WV,2000,Jul,5.6
WV,2000,Aug,5.6
WV,2000,Sep,5.5
WV,2000,Oct,5.5
WV,2000,Nov,5.4
WV,2000,Dec,5.4
WV,2001,Jan,5.3
WV,2001,Feb,5.3
WV,2001,Mar,5.2
WV,2001,Apr,5.2
WV,2001,May,5.2
WV,2001,Jun,5.2
WV,2001,Jul,5.2
WV,2001,Aug,5.3
WV,2001,Sep,5.5
WV,2001,Oct,5.6
WV,2001,Nov,5.8
WV,2001,Dec,5.9
WV,2002,Jan,6.1
WV,2002,Feb,6.3
WV,2002,Mar,6.4
WV,2002,Apr,6.5
WV,2002,May,6.5
WV,2002,Jun,6.5
WV,2002,Jul,6.5
WV,2002,Aug,6.5
WV,2002,Sep,6.5
WV,2002,Oct,6.5
WV,2002,Nov,6.6
WV,2002,Dec,6.6
WV,2003,Jan,6.7
WV,2003,Feb,6.7
WV,2003,Mar,6.7
WV,2003,Apr,6.8
WV,2003,May,6.8
WV,2003,Jun,6.7
WV,2003,Jul,6.7
WV,2003,Aug,6.6
WV,2003,Sep,6.5
WV,2003,Oct,6.3
WV,2003,Nov,6.2
WV,2003,Dec,6.1
WV,2004,Jan,6.1
WV,2004,Feb,6
WV,2004,Mar,6
WV,2004,Apr,5.9
WV,2004,May,5.8
WV,2004,Jun,5.7
WV,2004,Jul,5.7
WV,2004,Aug,5.6
WV,2004,Sep,5.6
WV,2004,Oct,5.6
WV,2004,Nov,5.6
WV,2004,Dec,5.6
WV,2005,Jan,5.6
WV,2005,Feb,5.6
WV,2005,Mar,5.5
WV,2005,Apr,5.5
WV,2005,May,5.4
WV,2005,Jun,5.4
WV,2005,Jul,5.4
WV,2005,Aug,5.4
WV,2005,Sep,5.4
WV,2005,Oct,5.4
WV,2005,Nov,5.3
WV,2005,Dec,5.2
WV,2006,Jan,5.1
WV,2006,Feb,5
WV,2006,Mar,5
WV,2006,Apr,5.1
WV,2006,May,5.2
WV,2006,Jun,5.3
WV,2006,Jul,5.4
WV,2006,Aug,5.4
WV,2006,Sep,5.3
WV,2006,Oct,5.3
WV,2006,Nov,5.2
WV,2006,Dec,5.1
WV,2007,Jan,5
WV,2007,Feb,4.9
WV,2007,Mar,4.8
WV,2007,Apr,4.8
WV,2007,May,4.7
WV,2007,Jun,4.7
WV,2007,Jul,4.8
WV,2007,Aug,4.8
WV,2007,Sep,4.9
WV,2007,Oct,4.9
WV,2007,Nov,4.8
WV,2007,Dec,4.8
WV,2008,Jan,4.7
WV,2008,Feb,4.6
WV,2008,Mar,4.5
WV,2008,Apr,4.4
WV,2008,May,4.4
WV,2008,Jun,4.4
WV,2008,Jul,4.5
WV,2008,Aug,4.5
WV,2008,Sep,4.7
WV,2008,Oct,5
WV,2008,Nov,5.4
WV,2008,Dec,5.9
WV,2009,Jan,6.5
WV,2009,Feb,7.1
WV,2009,Mar,7.7
WV,2009,Apr,8.1
WV,2009,May,8.5
WV,2009,Jun,8.7
WV,2009,Jul,8.8
WV,2009,Aug,8.8
WV,2009,Sep,8.8
WV,2009,Oct,8.8
WV,2009,Nov,8.9
WV,2009,Dec,8.9
WV,2010,Jan,9
WV,2010,Feb,8.9
WV,2010,Mar,8.8
WV,2010,Apr,8.7
WV,2010,May,8.5
WV,2010,Jun,8.5
WV,2010,Jul,8.4
WV,2010,Aug,8.5
WV,2010,Sep,8.6
WV,2010,Oct,8.6
WV,2010,Nov,8.6
WV,2010,Dec,8.5
WV,2011,Jan,8.4
WV,2011,Feb,8.3
WV,2011,Mar,8.1
WV,2011,Apr,8
WV,2011,May,7.9
WV,2011,Jun,7.8
WV,2011,Jul,7.8
WV,2011,Aug,7.8
WV,2011,Sep,7.7
WV,2011,Oct,7.5
WV,2011,Nov,7.4
WV,2011,Dec,7.2
WV,2012,Jan,7.1
WV,2012,Feb,7
WV,2012,Mar,7.1
WV,2012,Apr,7.2
WV,2012,May,7.3
WV,2012,Jun,7.4
WV,2012,Jul,7.4
WV,2012,Aug,7.4
WV,2012,Sep,7.4
WV,2012,Oct,7.3
WV,2012,Nov,7.3
WV,2012,Dec,7.2
WV,2013,Jan,7.1
WV,2013,Feb,6.9
WV,2013,Mar,6.8
WV,2013,Apr,6.7
WV,2013,May,6.6
WV,2013,Jun,6.6
WV,2013,Jul,6.6
WV,2013,Aug,6.6
WV,2013,Sep,6.6
WV,2013,Oct,6.7
WV,2013,Nov,6.7
WV,2013,Dec,6.7
WV,2014,Jan,6.7
WV,2014,Feb,6.7
WV,2014,Mar,6.7
WV,2014,Apr,6.6
WV,2014,May,6.5
WV,2014,Jun,6.5
WV,2014,Jul,6.4
WV,2014,Aug,6.4
WV,2014,Sep,6.4
WV,2014,Oct,6.4
WV,2014,Nov,6.3
WV,2014,Dec,6.4
WV,2015,Jan,6.4
WV,2015,Feb,6.5
WV,2015,Mar,6.7
WV,2015,Apr,6.8
WV,2015,May,6.8
WV,2015,Jun,6.8
WV,2015,Jul,6.7
WV,2015,Aug,6.6
WV,2015,Sep,6.5
WV,2015,Oct,6.4
WV,2015,Nov,6.4
WV,2015,Dec,6.4
WV,2016,Jan,6.4
WV,2016,Feb,6.3
WV,2016,Mar,6.3
WV,2016,Apr,6.2
WV,2016,May,6.2
WV,2016,Jun,6.2
WV,2016,Jul,6.1
WV,2016,Aug,6.1
WV,2016,Sep,6
WV,2016,Oct,5.9
WV,2016,Nov,5.8
WV,2016,Dec,5.6
WV,2017,Jan,5.4
WV,2017,Feb,5.2
WV,2017,Mar,5.1
WV,2017,Apr,5
WV,2017,May,5
WV,2017,Jun,5.1
WV,2017,Jul,5.1
WV,2017,Aug,5.2
WV,2017,Sep,5.3
WV,2017,Oct,5.3
WV,2017,Nov,5.4
WV,2017,Dec,5.4
WV,2018,Jan,5.4
WV,2018,Feb,5.4
WV,2018,Mar,5.3
WV,2018,Apr,5.3
WV,2018,May,5.2
WV,2018,Jun,5.1
WV,2018,Jul,5.1
WV,2018,Aug,5
WV,2018,Sep,5
WV,2018,Oct,5
WV,2018,Nov,5.1
WV,2018,Dec,5.1
WV,2019,Jan,5
WV,2019,Feb,4.9
WV,2019,Mar,4.8
WV,2019,Apr,4.8
WV,2019,May,4.7
WV,2019,Jun,4.8
WV,2019,Jul,4.8
WV,2019,Aug,5
WV,2019,Sep,5
WV,2019,Oct,5.1
WV,2019,Nov,5.1
WV,2019,Dec,5.2
WV,2020,Jan,5.2
WV,2020,Feb,5.3
WV,2020,Mar,5.3
WV,2020,Apr,15.7
WV,2020,May,12.4
WV,2020,Jun,10.5
WV,2020,Jul,9.4
WV,2020,Aug,8.2
WV,2020,Sep,7.6
WV,2020,Oct,6.9
WV,2020,Nov,6.5
WV,2020,Dec,6.3
WV,2021,Jan,6
WV,2021,Feb,5.9
